,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
241,旅游酒店,002627,三峡旅游,48.0,47.0,37.41,1.55,6.57,-1.6,20.1,24.2,33.54
242,旅游酒店,002159,三特索道,29.0,22.0,21.32,2.07,16.24,-0.8,3.8,8.92,5.73
243,旅游酒店,002033,丽江股份,52.0,52.0,27.59,2.14,9.49,-0.2,7.0,10.48,11.38
244,旅游酒店,000888,峨眉山Ａ,77.0,77.0,31.65,2.94,14.57,-2.2,3.3,5.12,12.25
245,文化传媒,605577,龙版传媒,60.0,60.0,25.08,1.58,13.55,-0.3,2.9,5.28,-5.77
246,文化传媒,605168,三人行,66.0,66.0,22.83,2.46,31.24,-1.9,-8.2,11.37,-11.25
247,文化传媒,603999,读者传媒,38.0,38.0,49.16,1.89,6.59,-0.6,-4.8,0.61,7.68
248,文化传媒,603888,新华网,135.0,135.0,43.69,3.71,19.95,-2.9,4.1,11.45,16.8
249,文化传媒,603230,内蒙新华,45.0,45.0,17.98,1.66,12.77,-0.2,-4.1,1.75,4.84
250,文化传媒,603103,横店影视,107.0,107.0,26.45,7.81,16.86,-1.2,-3.3,3.5,17.16
251,文化传媒,603096,新经典,28.0,28.0,29.69,1.51,18.05,-0.6,-4.7,-9.48,-0.55
252,文化传媒,601999,出版传媒,40.0,40.0,45.49,1.51,7.17,-0.2,0.1,5.29,15.46
253,文化传媒,601949,中国出版,131.0,131.0,49.44,1.38,6.9,-0.9,0.6,6.32,-2.54
254,文化传媒,601921,XD浙版传,184.0,184.0,13.61,1.34,8.28,-1.4,1.7,4.94,10.7
255,文化传媒,601900,南方传媒,119.0,119.0,13.14,1.44,13.44,-0.9,-5.4,-12.1,-7.69
256,文化传媒,601858,中国科传,168.0,168.0,44.19,3.0,21.22,-0.7,5.8,9.78,5.52
257,文化传媒,601811,新华文轩,194.0,125.0,11.34,1.28,15.74,-0.6,4.1,6.14,1.94
258,文化传媒,601801,皖新传媒,132.0,132.0,9.7,1.1,6.72,0.2,-1.9,1.2,-7.18
259,文化传媒,601019,山东出版,175.0,175.0,13.04,1.17,8.37,-0.5,-7.4,-14.24,-24.18
260,文化传媒,600959,江苏有线,178.0,178.0,43.92,0.79,3.56,-2.0,-0.6,4.4,6.91
