序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
151,603915,国茂股份,15.06,6.28,0.89,259013.0,382343323.0,8.4,15.33,14.14,14.32,14.17,3.44,3.94,57.66,2.74,9925871756.0,9888885149.0,0.0,0.0,0.33,29.83
152,301005,超捷股份,37.97,6.27,2.24,164031.0,617188615.39,6.83,38.36,35.92,35.98,35.73,1.54,12.39,79.72,6.74,5098127520.0,5026156714.0,0.03,0.03,39.24,30.03
153,002384,东山精密,47.2,6.26,2.78,705164.0,3297481578.62,5.31,47.8,45.44,45.92,44.42,0.78,5.09,47.41,4.19,86451875510.0,65434385326.0,-0.21,-0.17,94.24,62.03
154,688117,圣诺生物,37.28,6.24,2.19,145314.0,524576127.0,11.2,38.33,34.4,35.03,35.09,1.29,9.23,31.13,6.17,5867349260.0,5867349260.0,-0.03,0.03,88.66,104.39
155,301377,鼎泰高科,36.62,6.24,2.15,87907.0,316301196.23,8.18,37.1,34.28,34.4,34.47,1.23,12.38,51.71,6.16,15014200000.0,2600898880.0,0.08,0.11,51.51,75.47
156,688607,康众医疗,20.2,6.15,1.17,34781.0,68578061.0,8.62,20.47,18.83,19.03,19.03,3.5,3.95,-135.63,2.08,1780206345.0,1780206345.0,-0.59,-0.25,17.03,53.15
157,688336,三生国健,59.6,6.14,3.45,161354.0,907595189.0,14.8,60.86,52.55,55.29,56.15,2.74,2.62,89.26,6.55,36760433263.0,36760433263.0,-0.18,-0.73,109.71,179.42
158,603319,美湖股份,24.8,6.12,1.43,226844.0,552522914.0,6.97,24.95,23.32,23.48,23.37,2.72,6.69,38.66,3.51,8410912014.0,8410912014.0,0.0,0.0,12.57,78.16
159,688302,海创药业-U,51.9,6.11,2.99,49835.0,255298256.0,9.75,52.98,48.21,49.0,48.91,1.87,6.11,-40.02,4.42,5138909536.0,4230634728.0,0.0,0.12,27.99,69.0
160,300238,冠昊生物,17.02,6.04,0.97,302217.0,512297601.6,8.41,17.48,16.13,16.18,16.05,2.51,11.4,75.89,8.1,4512950031.0,4512582076.0,-0.12,0.06,34.23,41.36
161,300824,北鼎股份,13.01,6.03,0.74,156076.0,201669444.78,7.09,13.23,12.36,12.37,12.27,2.92,4.94,31.81,6.08,4245705283.0,4111749444.0,0.08,0.0,40.04,34.68
